55	NE	31153	-26898.1373496151	-7898979.75440949	283064.811862245	462339.192708333	213387.319711538
56	NC	37035	1296937.00689556	-8416340.26068977	1195790.81632653	1953125	901442.307692308
57	IA	19113	350856.78791265	-7780242.06843287	346594.387755102	566104.166666667	261278.846153846
58	KY	21083	632157.809441461	-8370127.12243481	450554.926658163	735906.380208333	339649.098557692
59	NC	37133	1646978.06698771	-8447252.16681047	233270.886479592	381009.114583333	175850.360576923
60	NE	31079	-239927.821324215	-7918387.28817923	316153.220663265	516383.59375	238330.889423077
61	MI	26091	971004.651911609	-7749840.55542558	848284.274553571	1385530.98177083	639475.837740385
62	MI	26017	946537.655357897	-7526882.09754841	447990.306202168	731717.500130208	337715.769290865
63	MD	24003	1627084.06486841	-7960470.48648289	947171.556122449	1547046.875	714021.634615385
64	MD	24003	1630431.98997023	-7948201.66522442	278003.268494898	454072.005208333	209571.694711538
65	FL	12053	1301047.5661181	-9198687.71568328	346619.897959184	566145.833333333	261298.076923077
66	DE	10003	1708622.53189907	-7869046.33146147	1861686.46364796	3040754.55729167	1403425.18028846
67	PA	42019	1309101.93818739	-7823107.57730435	816838.966836735	1334170.3125	615770.913461538
68	WI	55127	578335.95224881	-7704475.04814243	1175275.74936224	1919617.05729167	885977.103365385
69	MN	27037	219633.30303452	-7483852.97466327	1546502.37244898	2525953.875	1165824.86538462
70	TX	48245	163998.073648053	-9137166.96380411	1380409.80149872	2254669.34244792	1040616.61959135
71	TX	48355	-159007.82830548	-9396218.55466264	649286.386399872	1060501.09778646	489462.045132212
72	TX	48355	-192733.753388539	-9407804.28289304	4854910.70232781	7929687.48046875	3659855.76021635
73	WV	54079	1190038.95472829	-8127384.40797704	690724.494260204	1128183.340625	520700.003365385
74	IL	17183	686313.788192302	-7943190.58513214	839967.956792092	1371947.66276042	633206.613581731
75	IL	17099	573120.86627302	-7850791.78643629	676108.86854273	1104311.15195313	509682.070132212
76	IL	17135	530339.583992106	-8097699.6826691	334851.046556122	546923.376041667	252426.173557692
77	IL	17113	569823.364458126	-7949237.75456294	205454.926419005	335576.379817708	154881.406069712
78	IL	17167	526627.803677649	-8020843.37996491	346102.769929847	565301.190885417	260908.241947115
79	VA	51035	1325616.56507715	-8280473.63484761	199995.137117347	326658.723958333	150765.564903846
80	CA	6059	-2004077.77723275	-8505983.35134734	2820005.58035714	4606009.11458333	2125850.36057692
81	CA	6059	-1987721.64154019	-8521110.79637852	8564462.85076531	13988622.65625	6456287.37980769
82	CA	6059	-1989920.02281705	-8497425.13669457	8408655.9630102	13734138.0729167	6338832.95673077
83	VA	51059	1588704.03339332	-8013433.51206743	1289440.44961735	2106086.06770833	972039.723557692
84	LA	22059	344429.167487573	-8935470.06458168	2151109.77359694	3513479.296875	1621605.82932692
85	CA	6065	-1922172.48235104	-8494048.54802377	1753826.53061224	2864583.33333333	1322115.38461538
86	LA	22107	428895.184599484	-8910533.83709154	1139668.04846939	1861457.8125	859134.375
87	MO	29221	438623.030546938	-8216328.62669251	1088480.94706633	1777852.21354167	820547.175480769
88	NE	31109	-66807.4090621149	-7919530.62301739	961770.331632653	1570891.54166667	725026.865384615
89	NE	31001	-213505.410081579	-7953881.32875904	199298.469387755	325520.833333333	150240.384615385
90	IN	18005	844701.986102638	-8075473.71933318	443036.033163265	723625.520833333	333981.009615385
91	IN	18005	854854.718815344	-8063845.77504091	111476.801658163	182078.776041667	84036.3581730769
92	DE	10001	1707706.61488311	-7949675.07615729	664062.5	1084635.41666667	500600.961538462
93	DE	10005	1741935.67623767	-7993235.12220344	609402.901785714	995358.072916667	459396.033653846
94	WI	55129	310703.971570233	-7379200.00872201	819264.705038266	1338132.3515625	617599.546875
95	AR	5049	373432.132525911	-8431634.69725395	465290.577168367	759974.609375	350757.512019231
96	LA	22085	215151.3649967	-8960534.02998888	191939.014668367	313500.390625	144692.487980769
97	CA	6073	-1929686.76874516	-8591481.71104819	461248.405612245	753372.395833333	347710.336538462
98	PA	42095	1709907.05845716	-7761703.56497307	622286.352040816	1016401.04166667	469108.173076923
99	OK	40019	-110000.387374783	-8673024.59567703	318080.357142857	519531.25	239783.653846154
100	NC	37007	1408922.56703024	-8467223.55644471	1181843.59056122	1930344.53125	890928.245192308
101	IN	18023	778523.679313313	-7947906.03730493	499586.655771684	815991.537760417	376611.478966346
102	OK	40081	-72515.5198669348	-8522347.9342059	108393.390226403	177042.537369792	81711.9403245192
103	IL	17105	597616.952905258	-7895306.67105631	5959164.70424107	9733302.35026042	4492293.39242788
104	OH	39033	1079106.16161128	-7857438.5691377	365755.580357143	597400.78125	275723.4375
105	MD	24025	1646155.26141538	-7893042.54777138	154136.068239796	251755.578125	116194.882211538
106	WI	55073	507239.893242671	-7458068.93811012	475710.365114796	776993.596354167	358612.429086538
107	CA	6059	-1992519.60224677	-8489340.2884889	977922.59247449	1597273.56770833	737203.185096154
108	CA	6059	-1996365.45028931	-8470654.33070628	6994810.90561225	11424857.8125	5273011.29807692
109	TX	48157	11100.3210025939	-9209869.68516714	2233854.06887755	3648628.3125	1683982.29807692
110	OK	40133	-63695.7667515867	-8563240.20941255	169913.717713648	277525.738932292	128088.802584135
111	GA	13285	1005751.11579424	-8744732.37650559	735386.639030612	1201131.51041667	554368.389423077
112	KY	21125	1029923.97546249	-8291826.16948716	1247942.97353316	2038306.85677083	940757.010817308
113	TX	48349	-58835.0562478681	-8908876.66514504	892963.341039541	1458506.79036458	673156.980168269
114	WV	54039	1224147.39354539	-8120291.86570027	423695.632493623	692036.199739583	319401.322956731
115	PA	42071	1664314.2151571	-7835773.90863693	1333036.51147959	2177292.96875	1004904.44711538
116	KS	20009	-247293.509364563	-8197377.05370111	228196.109693878	372720.3125	172024.759615385
117	OH	39015	1020336.94702639	-8082084.45985611	5119068.79783163	8361145.703125	3858990.32451923
118	NY	36007	1611478.70047265	-7601968.66913635	1254636.87818878	2049240.234375	945803.185096154
119	OR	41051	-2066746.48067649	-7100804.60920009	1012436.2244898	1653645.83333333	763221.153846154
120	TX	48347	109129.662091812	-8958139.60857452	325440.957509566	531553.563932292	245332.414122596
121	AL	1079	781995.753906287	-8581347.04879152	1203431.12165179	1965604.16536458	907201.922475962
122	TN	47157	535423.778107344	-8567037.98922926	3837995.72385204	6268726.34895833	2893258.31490385
123	TX	48139	-76029.0775665104	-8875176.49438696	2887003.72927296	4715439.42447917	2176356.65745192
124	TX	48293	-62640.7139772775	-8962557.7591768	528060.20830676	862498.340234375	398076.15703125
125	TX	48029	-241589.328830329	-9202640.18108652	5779602.80054209	9440017.90755208	4356931.34194712
126	TX	48355	-179209.098951095	-9393488.53737324	996252.153220663	1627211.85026042	751020.853966346
127	TX	48245	160622.654925954	-9141766.85712318	1255189.90194515	2050143.50651042	946220.079927885
128	LA	22053	284909.571009994	-9107998.04955557	1048022.50558036	1711770.09244792	790047.734975962
129	GA	13013	1101471.25880161	-8629633.13381197	1991800.99250638	3253274.95442708	1501511.51742788
130	GA	13255	1079553.05776303	-8714688.5211919	2694651.85108418	4401264.69010417	2031352.93389423
131	OH	39091	1013910.73512723	-7911367.05801416	902537.452168367	1474144.50520833	680374.387019231
132	MI	26049	965424.367998621	-7605833.20035743	2286446.42857143	3734529.16666667	1723628.84615385
133	VA	51107	1552138.85181379	-7980271.08000956	690914.0625	1128492.96875	520842.908653846
134	OH	39061	965717.241699656	-8056068.89177243	718798.150510204	1174036.97916667	541863.221153846
135	IL	17089	620036.679553754	-7788241.37164769	1396668.92538265	2281225.91145833	1052873.49759615
136	TX	48135	-626396.853363056	-8923278.28198789	2179706.98580995	3560188.07682292	1643163.72776442
137	LA	22005	476629.886920972	-9113522.48270089	2022828.89508929	3303953.86197917	1524901.78245192
