fips	OpsWithSales	TotalSalesHead	SlaughterConnectivity
21129	-0.41532809249802816	-0.19884446556559138	-0.2698265888358824
21131	-0.497021962913487	-0.2036714209582273	-0.26856446826738317
21133	-0.48654838978329995	-0.20448970482478843	-0.2649435043778781
21135	0.07064570074264975	-0.16276642183091827	-0.25456355037911527
21137	0.9797518484428838	0.15077421207321576	-0.27436658574077655
21139	-0.14929933499127773	-0.12473001333694717	-0.275515202565029
21141	0.3785687507701483	-0.020412611651523888	-0.2865402003118328
21143	-0.33363422208256943	-0.18703911180531607	-0.28109231301948795
21145	-0.3399183659606816	-0.18918136057957163	-0.2766984274041693
21147	-0.37133908535124266	-0.1967389935943273	-0.27841184076555586
21149	-0.31059236119615796	-0.1846853964138593	-0.2737717883786626
21151	0.9839412776949583	0.3042989761612819	-0.2696124280175535
21153	-0.3231606489523824	-0.19640800236740372	-0.2679445209215213
21155	0.6739235130414225	0.0439008225798824	-0.27474421470180754
21157	-0.0697001792018564	-0.11177538448318715	-0.2825090389462104
21159	-0.49283253366141216	-0.20298185590213644	-0.2673336189849212
21161	0.24450701470375436	-0.08669360484297607	-0.2486218365399189
21163	0.26335944633809105	-0.13039364099764	-0.2660946023029105
21165	-0.2163302030244747	-0.1826534780485783	-0.26577645081233114
21167	0.7011548031799084	0.17867861134302535	-0.2690109861072609
21169	0.5545247793572905	-0.055295409288972835	-0.28347657094800605
21171	0.78075395896933	0.061277861993371735	-0.2864027430013322
21173	0.20680215143508107	-0.053493345942388804	-0.2638375396676511
21175	0.014088405839639884	-0.15911632413401072	-0.2663627733446329
21177	-0.011048169672808972	-0.14692481394232457	-0.2806743477755246
21179	0.7765645297172552	0.04308253871332127	-0.27025140088463556
21181	0.12929771027169712	-0.029790696414359413	-0.25611810035810445
21183	0.16490785891433302	-0.15189887654692652	-0.2762809658527611
21185	-0.27707692717955945	-0.17925162377186343	-0.2542423846694561
21187	0.0978769908811361	-0.09887592083391435	-0.24972968323043565
21189	-0.4216122363761404	-0.1998282450456143	-0.2707590998286533
21191	0.16490785891433302	-0.16845763209385473	-0.24226467711001654
21193	-0.4697906727750007	-0.18814241589506142	-0.2682636908838909
21195	-0.4467488118885893	-0.20018681887478154	-0.2661473092109125
21197	-0.35667608296898085	-0.19460593902081963	-0.26735700650650185
21199	1.6228292386363674	0.1691074483644844	-0.2774471151930223
21201	-0.2666033540493724	-0.18902505916685772	-0.24997770782733988
21203	0.1858550051747071	-0.14063598063077604	-0.27399020176369837
21205	-0.2666033540493724	-0.18123757113340508	-0.2618684681307142
21207	0.33248502899732546	0.14961574277898318	-0.2810653098577875
21209	0.16490785891433302	-0.0630369263186861	-0.2569304169878792
21211	0.5670930671135148	-0.042359168836708566	-0.25974682346093336
21213	-0.15977290812146477	-0.16893573053274438	-0.28800846462130186
21215	-0.013142884298846358	-0.14962790896220066	-0.26477631142675995
21217	0.40580004090863475	-0.10094461600218688	-0.27784908403425645
21219	0.028751408221901698	-0.09328584677920454	-0.28661883800731897
21221	-0.1367310472350533	-0.12929033690789465	-0.28566516449623836
21223	-0.09693146934034264	-0.17817590228436173	-0.24691792832414106
21225	-0.31478179044823273	-0.1415186239025723	-0.2666223026578453
21227	1.0425932872240058	0.04696249142892575	-0.28487562217951745
21229	0.7137230909361332	-0.034755564818213486	-0.27075610016515583
21231	0.428841901795046	-0.0016656363266007168	-0.28095841206647654
21233	-0.21842491765051208	-0.12188900530585287	-0.2720516662966249
21235	-0.055037176819594524	-0.16543274004780287	-0.2750195801452006
21237	-0.34620250983879386	-0.19646316757189097	-0.26818175794481847
21239	-0.008953455046771586	-0.09461900588764686	-0.2638025681030675
22001	0.007804261961527614	-0.16872426391554318	-0.30069392560723646
22003	-0.1199733302267541	-0.16510174882087927	-0.29598442969606376
22005	-0.254035066293148	-0.17024130703894305	-0.30863673800100694
22007	-0.45093824114066405	-0.2007108883174106	-0.308416880273208
22009	0.2591700170860163	-0.08932314625686914	-0.302437937207085
22011	0.24869644395582924	-0.13386904888033785	-0.2892347918091033
22013	-0.2959293588138961	-0.18363725752860122	-0.28665672867753883
22015	-0.1807200543818388	-0.14956354955696552	-0.2736810552439014
22017	-0.08226846695808077	-0.12318538761130367	-0.26726886826461527
22019	0.2864013072245025	-0.03874584794279254	-0.29010600914845625
22021	-0.3064029319440831	-0.18178002897752987	-0.2990586152667649
22023	-0.08855261083619298	-0.09293646715078518	-0.2931172291158197
22025	-0.2519403516671106	-0.16916558555144134	-0.3022691178126454
22027	-0.22680377615466174	-0.14355054226785333	-0.2849707979181807
22029	-0.40694923399387856	-0.1835637039226182	-0.3040217855202018
22031	0.16071842966225824	-0.11537031697560741	-0.2748576277843821
22033	-0.15977290812146477	-0.15509845840718806	-0.30774107143676477
22035	-0.4823589605312251	-0.1993777292089683	-0.30321608825405044
22037	-0.0864578962101556	-0.12423352649656176	-0.3075908436699821
22039	0.06645627149057498	-0.10952280529995702	-0.29997528411529334
22041	-0.02990060130714567	-0.1499956769921158	-0.30228161954341776
22043	-0.3022135026920083	-0.17882869053746106	-0.2963202654742944
22045	-0.31478179044823273	-0.19113972533886964	-0.3056878716894952
22047	-0.34620250983879386	-0.1741856191597827	-0.30706559546043777
22049	-0.3231606489523824	-0.19175573678897745	-0.29381959393028045
22051	-0.4697906727750007	-0.20053619850320092	-0.3105488152694117
22053	0.03294083747397647	-0.13801563341763082	-0.29693051248379343
22055	-0.09064732546223037	-0.18590822511332708	-0.30339273172769166
22057	-0.0026693111686594273	-0.14383556249103757	-0.31019966592420795
22059	-0.31059236119615796	-0.1945415796155845	-0.2998774724829262
22061	-0.19328834213806323	-0.16814502926842687	-0.2911335068021813
22063	-0.1304469033569411	-0.17471888280315961	-0.30896291691277683
22065	-0.45722238501877627	-0.19560810690233832	-0.3041843971121147
22067	-0.3692443707252053	-0.1720617587870229	-0.2991504902585286
22069	0.11044527863736053	-0.0059409396743639875	-0.28898017229392714
22073	-0.2686980686754099	-0.18505316444377443	-0.2973952757099604
22075	-0.4237069510021778	-0.16824616547665355	-0.311309196374156
22077	-0.166057051999577	-0.14578473304958767	-0.305403783258959
22079	0.11672942251547269	-0.07772925911379505	-0.2977345592271745
22081	-0.2728874979274847	0.13360863927692765	-0.2830416572116619
22083	-0.16186762274750216	-0.11903880307401073	-0.30084889803765474
22085	-0.10112089859241741	-0.15310331684489853	-0.2817774096356378
22087	-0.4823589605312251	-0.20202565902435715	-0.3111582163678324
22089	-0.40694923399387856	-0.19376007255201486	-0.31014692608920524
22091	-0.07388960845393117	-0.13956945334402218	-0.3086504738333118
22093	-0.4697906727750007	-0.20100510274134267	-0.30909612056649444
22095	-0.4760748166531129	-0.20341398333728672	-0.30972030185558563
22097	0.6027032157561507	-0.10038376975656635	-0.30321938019596434
22099	-0.31059236119615796	-0.19492773604699537	-0.30605421997600657
22101	-0.4278963802542526	-0.19850428013791988	-0.30714856135616403
22103	-0.1639623373735396	-0.1759325173018795	-0.31045637608959104
22105	0.5272934892188039	-0.070879579556626	-0.30953845492205256
22107	-0.45722238501877627	-0.2023750386527765	-0.3045260694927683
22109	-0.34201308058671903	-0.15526395402064985	-0.3093277141572775
22111	-0.09693146934034264	-0.14010271698739912	-0.2935825540495726
22113	0.44978904805541997	-0.09281694254106278	-0.30201446752428757
22115	-0.10949975709656706	-0.18362806332785334	-0.29009870547002276
22117	0.3618110337618491	-0.12331410642177396	-0.3100244868338859
22119	-0.12416275947882888	-0.18080544369825483	-0.27939800064634684
22121	-0.39857037548972896	-0.19606781693973221	-0.30700297658704895
22123	-0.3022135026920083	-0.17978488741524035	-0.30173178011825763
22125	-0.3608655122210557	-0.13795127401239565	-0.30604672154148854
